51|1|2024-01-02|21005|2024-02-20|17410|11.7|49|111478.81|49360|3527|3595|81
52|2|2024-01-01|22720|2024-02-20|17410|11.7|50|123489.88|52280|3921|4198|81
53|3|2024-01-02|22537|2024-02-22|18648|11.1|51|121531.35|54679|3597|3889|81
54|4|2024-01-02|22476|2024-02-22|17280|11.1|51|119892.80|50668|4721|5196|81
55|5|2024-01-04|22110|2024-02-25|16864|10.9|52.8|117467.16|49693|4508|5246|81
56|1|2023-10-27|20950|2023-12-13|19158|11.7|47|113981.56|57433|1783|1792|80
57|2|2023-10-26|21070|2023-12-12|19752|10.4|47|114290.61|61497|1546|1318|80
58|3|2023-10-27|22038|2023-12-12|20608|10.9|46|119006.53|61044|1569|1430|80
59|4|2027-10-27|22525|2023-12-13|21189|11.1|47|122948.24|63577|1494|1336|80
60|5|2023-10-27|22303|2023-12-12|20691|11|46.1|116453.07|61309|2029|1612|80
